Video ID,Comment ID,comments,Likes
OPf0YbXqDm0,UgyfLb5x-flSD6OToSd4AaABAg,even  tho  Bruno  gave  a  godly  voice  to  the  song    we  should  appreciate  Mark  for  writing  those  fire  lyrics  ,492
OPf0YbXqDm0,Ugwhvx4ScWU81R9GC6x4AaABAg,When  you  collab  with  Bruno  Mars    it  isn't  your  song  anymore  ,9204
OPf0YbXqDm0,UgxRThvutQgk6sE4wZN4AaABAg,I  like  how  Mark  Ronsons  produces  music  and  feature  other  artists    EXCEPT  HE  MAKES  THE  FEATURES  THE  STAR  ,420
OPf0YbXqDm0,Ugx21J_ZjDv89kmrAkF4AaABAg,    It's  crazy  how  many  people  come  back  to  this  everyday  This  song  is  legendary  Many  Many  Loves  For  This  Masterpiece    ,36
OPf0YbXqDm0,Ugwj6zRz06Ub5eQ_E_d4AaABAg,This  song  and    Love  Me    by  Lukaz  are  some  of  the  only  things  getting  me  through  these  hard  times    thank  god  for  music    I  love  you    ,2
OPf0YbXqDm0,UgzUrKHayDuL3fUc7E94AaABAg,This  song  is  stupidity  addictive  I  can't  stop  replaying  it  ,50
OPf0YbXqDm0,UgyZqMY_eFu2YnZPDlR4AaABAg,    Agree  with  you  all      This  Song  is    Legendary  Masterpiece      I've  no  words          just  close  your  eyes  and  enjoy  this  song,0
OPf0YbXqDm0,Ugz_zIBTtmTwEhXWhx54AaABAg,I  can  t  count  how  many  times  I  come  back  here  cause  this  song  really  doesn  t  get  old  ,312
OPf0YbXqDm0,Ugy_LhN2gONRQX7yrzd4AaABAg,Loving  it  The  song  is  awesome,6
OPf0YbXqDm0,UgwTQNNJ7oAc3OqFqZ54AaABAg,This  is  literally  my  ringtone  ,0
OPf0YbXqDm0,UgydiR37JHA3uw1nRKd4AaABAg,I  like  how  bruno  is  singing  and  dancing  while  mark's  just  sitting  there    vibing,271
OPf0YbXqDm0,Ugxm1xCxDOc-_YhQLfJ4AaABAg,It's  crazy  how  many  people  come  back  to  this  everyday  This  song  is  masterpiece  ,100
OPf0YbXqDm0,UgyTrfKUzcWPRYeqttZ4AaABAg,Before  2022  let's  see  how  many  legends  are  listening  to  this  masterpiece    this  track  is  so  addictive  ,1
OPf0YbXqDm0,UgyhPpy1jbvSWDLCEFp4AaABAg,It's  crazy  how  many  people  come  back  to  this  everyday    This  song  is  legendary        ,7
OPf0YbXqDm0,Ugz7OmH68hjbAxwTLrJ4AaABAg,This  song's  actually  pretty  damn  good    Don't  believe  me      Just  watch    ,866
OPf0YbXqDm0,Ugz-EDQaVLdgzHmShs94AaABAg,This  song  never  gets  old,2
